ISIN;nom;ticker
BE0003470755g;Solvay;SOLB
FR0000045072p;Credit Agricole;ACA
FR0000073272p;Safran;SAF
FR0000120073p;Air Liquide;AI
FR0000120172p;Carrefour;CA
FR0000120271p;Total;FP
FR0000120321p;L'oreal;OR
FR0000120404p;Accor;AC
FR0000120503p;Bouygues;EN
FR0000120537p;Lafarge;LG
FR0000120578p;Sanofi;SAN
FR0000120628p;Axa;CS
FR0000120644p;Danone;BN
FR0000120693p;Pernod Ricard;RI
FR0000121014p;Lvmh;MC
FR0000121261p;Michelin;ML
FR0000121485p;Kering;KER
FR0000121501p;Peugeot;UG
FR0000121667p;Essilor Intl;EI
FR0000121972p;Schneider Electric;SU
FR0000124141p;Veolia Environ.;VIE
FR0000124711p;Unibail-Rodamco;UL
FR0000125007p;Saint Gobain;SGO
FR0000125338p;Cap Gemini;CAP
FR0000125486p;Vinci;DG
FR0000127771p;Vivendi;VIV
FR0000130007p;Alcatel-Lucent;ALU
FR0000130338p;Valeo;FR
FR0000130577p;Publicis Groupe;PUB
FR0000130809p;Societe Generale;GLE
FR0000131104p;Bnp Paribas;BNP
FR0000131708p;Technip;TEC
FR0000131906p;Renault;RNO
FR0000133308p;Orange;ORA
FR0010208488p;GDF Suez;GSZ
FR0010220475p;Alstom;ALO
FR0010242511p;EDF;EDF
FR0010307819p;Legrand SA;LR
LU0323134006p;Arcelor Mittal;MT
NL0000235190p;Airbus;AIR
BE0000296054p;OLO5%28SEP11;B296B
BE0000298076p;OLO5%28SEP12;B298B
FR0000047664p;Bnp Par.Tpa 84-87;BNPAQ
FR0000102873p;BNP PAR.5,50%02TSR;BNPAI
FR0000140014p;Renault Tpa 83-84;RNL
FR0000140030p;St-Gobain Tpa 83T1;SGP
FR0000140048p;Thomson Tpa 83 T.1;TOM
FR0000140063p;Bnp Par.Tpa 84 1-2;TPB
FR0000140071p;Cred.Lyon.Tpa 84;CLP
FR0000181307p;CR.AG.TV0303 12ANS;ACABC
FR0000186058p;BNP PAR.4,3%99TSR;BNPAJ
FR0000186090p;CRED.AGR.4%99 TSR;ACABD
FR0000186108p;CRED.AGRICOLE 4%99;ACABE
FR0000186215p;OSEO4,375%25APR11;CPAC
FR0000186223p;CRED.AGR.4,25%99;ACABF
FR0000186249p;CRH4,2%25APR11;CRHAB
FR0000186389p;CRED.AGRICOLE TV99;ACABG
FR0000186413p;OATIND3,4%25JUL29;ETAAB
FR0000186447p;BNP PAR.5,7%99TSR;BNPAK
FR0000186579p;CR.AGR.5,75%00 TSR;ACABJ
FR0000186694p;CRED.AGR.5,60%00;ACABL
FR0000186793p;BNP PAR.5,7%00TSR;BNPAL
FR0000187015p;CR.AGR.5,60%12 TSR;ACABO
FR0000187098p;BNP PARIBAS 5,8%12;BNPAM
FR0000187148p;CR.AGR.5,50%00 TSR;ACABP
FR0000187213p;CR.AGR.5,60%00 TSR;ACABQ
FR0000187320p;CR.AGR.5,10%12 TSR;ACABR
FR0000187353p;CR.LYON.5,20%01TSR;CLAD
FR0000187361p;OAT5%25OCT16;ETAAF
FR0000187437p;BNP PAR.5,40%01TSR;BNPAN
FR0000187601p;CRED.AGR.5,20%01;ACABT
FR0000187635p;OAT5,75%25OCT32;ETAAH
FR0000187767p;CRED.AGR.5,20%01;ACABU
FR0000187866p;CR.AGR.5,20%01 TSR;ACABV
FR0000187874p;OAT5%25OCT11;ETAAI
FR0000187999p;BNP PAR.5,25%13TSR;BNPAO
FR0000188013p;OATIND3%25JUL12;ETAAK
FR0000188021p;CR.AGR.5,10%01 TSR;ACABW
FR0000188112p;CNCA 5,10%12/01TSR;CNCAB
