49.22,1154668,16600,49.19,N/A,N/A,15.82,136600,"+0.67 - +1.39%",+0.67,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,0.96,N/A,1.25,N/A,0.00,N/A,198313000,48.44,N/A,N/A,N/A,N/A,N/A,49.33,N/A,N/A,28.59,11.37B,231018000,N/A,920.00M,20.61,+72.11%,51.15,N/A,N/A,112,-1.95,-3.82%,"11:45am - <b>49.20</b>",49.20,N/A,N/A,"48.44 - 49.33",N/A,49.15,42.72,6.48,+15.18%,0.05,+0.11%,"ACCOR",N/A,48.65,48.53,N/A,"+1.39%",2.06,3.07,"5/6/2015",51.09,N/A,N/A,0.00,N/A,N/A,"AC.PA",N/A,5.45B,0.00,"11:45am",N/A,N/A,N/A,218698,N/A,N/A,"28.59 - 51.15",N/A,N/A,"PAR",N/A
14.390,6601337,595400,14.380,N/A,N/A,20.325,1344800,"+0.075 - +0.524%",+0.075,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,0.813,N/A,0.520,N/A,0.000,N/A,910605000,14.295,N/A,N/A,N/A,N/A,N/A,14.425,N/A,N/A,9.761,37.02B,2573203000,N/A,0.00,4.624,+47.372%,14.485,N/A,N/A,554,-0.100,-0.690%,"11:45am - <b>14.385</b>",14.385,N/A,N/A,"14.295 - 14.425",N/A,13.909,12.015,2.370,+19.728%,0.476,+3.421%,"CREDIT AGRICOLE",N/A,14.390,14.310,N/A,"+0.524%",2.608,0.704,"5/30/2014",17.694,N/A,N/A,0.000,N/A,N/A,"ACA.PA",N/A,14.12B,0.000,"11:45am",N/A,N/A,N/A,1422074,N/A,N/A,"9.761 - 14.485",N/A,N/A,"PAR",N/A
119.00,871106,31500,118.95,N/A,N/A,33.58,234600,"+0.70 - +0.59%",+0.70,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,4.83,N/A,4.46,N/A,0.00,N/A,343253000,118.35,N/A,N/A,N/A,N/A,N/A,119.25,N/A,N/A,87.17,40.90B,343579000,N/A,3.85B,31.88,+36.57%,123.95,N/A,N/A,50,-4.90,-3.95%,"11:46am - <b>119.05</b>",119.05,N/A,N/A,"118.35 - 119.25",N/A,119.81,109.93,9.12,+8.29%,-0.76,-0.63%,"AIR LIQUIDE",N/A,118.90,118.35,N/A,"+0.59%",2.61,3.52,"5/16/2014",24.65,N/A,N/A,0.00,N/A,N/A,"AI.PA",N/A,15.59B,0.00,"11:46am",N/A,N/A,N/A,100302,N/A,N/A,"87.17 - 123.95",N/A,N/A,"PAR",N/A
61.73,2775485,111100,61.71,N/A,N/A,0.00,59500,"+0.85 - +1.40%",+0.85,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,N/A,N/A,0.83,N/A,0.00,N/A,N/A,61.13,N/A,N/A,N/A,N/A,N/A,62.00,N/A,N/A,39.64,N/A,N/A,N/A,0.00,22.08,+55.70%,66.10,N/A,N/A,56,-4.38,-6.63%,"11:46am - <b>61.72</b>",61.72,N/A,N/A,"61.13 - 62.00",N/A,61.83,52.22,9.50,+18.18%,-0.11,-0.17%,"AIRBUS GROUP",N/A,61.50,60.87,N/A,"+1.40%",N/A,N/A,"5/29/2014",N/A,N/A,N/A,0.00,N/A,N/A,"AIR.PA",N/A,N/A,0.00,"11:46am",N/A,N/A,N/A,568798,N/A,N/A,"39.64 - 66.10",N/A,N/A,"PAR",N/A
28.380,1166175,36500,28.365,N/A,N/A,13.344,173800,"+0.035 - +0.123%",+0.035,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,-2.324,N/A,4.220,N/A,0.000,N/A,217725000,28.240,N/A,N/A,N/A,N/A,N/A,28.480,N/A,N/A,24.715,8.79B,309792000,N/A,469.00M,3.660,+14.809%,30.195,N/A,N/A,170,-1.820,-6.027%,"11:45am - <b>28.375</b>",28.375,N/A,N/A,"28.240 - 28.480",N/A,28.770,28.305,0.070,+0.246%,-0.395,-1.374%,"ALSTOM",N/A,28.440,28.340,N/A,"+0.123%",1.425,2.124,"7/4/2013",N/A,N/A,N/A,0.000,N/A,N/A,"ALO.PA",N/A,6.16B,0.000,"11:45am",N/A,N/A,N/A,129193,N/A,N/A,"24.715 - 30.195",N/A,N/A,"PAR",N/A
3.384,41022012,162600,3.382,N/A,N/A,0.740,995200,"+0.034 - +1.015%",+0.034,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,-0.042,N/A,-0.140,N/A,0.000,N/A,2747478000,3.352,N/A,N/A,N/A,N/A,N/A,3.393,N/A,N/A,1.777,9.43B,2788270000,N/A,960.00M,1.606,+90.377%,4.572,N/A,N/A,1934,-1.189,-26.006%,"11:45am - <b>3.383</b>",3.383,N/A,N/A,"3.352 - 3.393",N/A,3.555,3.148,0.235,+7.449%,-0.172,-4.825%,"ALCATEL-LUCENT",N/A,3.366,3.349,N/A,"+1.015%",0.694,4.526,"6/5/2007",N/A,N/A,N/A,0.000,N/A,N/A,"ALU.PA",N/A,13.45B,0.000,"11:45am",N/A,N/A,N/A,5034815,N/A,N/A,"1.777 - 4.572",N/A,N/A,"PAR",N/A
63.20,1910264,206600,63.18,N/A,N/A,19.49,40600,"+0.38 - +0.60%",+0.38,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,1.88,N/A,2.53,N/A,0.00,N/A,573157000,62.82,N/A,N/A,N/A,N/A,N/A,63.39,N/A,N/A,48.67,38.03B,601872000,N/A,3.32B,14.52,+29.85%,66.15,N/A,N/A,90,-2.96,-4.48%,"11:46am - <b>63.19</b>",63.19,N/A,N/A,"62.82 - 63.39",N/A,64.37,58.85,4.34,+7.38%,-1.18,-1.84%,"DANONE",N/A,62.93,62.81,N/A,"+0.60%",1.79,3.22,"5/7/2015",33.61,N/A,N/A,0.00,N/A,N/A,"BN.PA",N/A,21.14B,0.00,"11:46am",N/A,N/A,N/A,351611,N/A,N/A,"48.67 - 66.15",N/A,N/A,"PAR",N/A
57.63,4558859,82300,57.61,N/A,N/A,75.62,117000,"+0.72 - +1.27%",+0.72,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,0.13,N/A,4.56,N/A,0.00,N/A,1036436000,56.89,N/A,N/A,N/A,N/A,N/A,57.74,N/A,N/A,43.14,71.56B,1242000000,N/A,0.00,14.48,+33.57%,59.69,N/A,N/A,56,-2.07,-3.47%,"11:46am - <b>57.62</b>",57.62,N/A,N/A,"56.89 - 57.74",N/A,56.86,51.26,6.36,+12.41%,0.76,+1.33%,"BNP PARIBAS-A-",N/A,57.34,56.90,N/A,"+1.27%",1.91,0.75,"5/20/2014",450.16,N/A,N/A,0.00,N/A,N/A,"BNP.PA",N/A,36.97B,0.00,"11:46am",N/A,N/A,N/A,978338,N/A,N/A,"43.14 - 59.69",N/A,N/A,"PAR",N/A
30.90,2672244,221400,30.88,N/A,N/A,12.68,259800,"+0.14 - +0.44%",+0.14,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,1.76,N/A,1.96,N/A,0.00,N/A,528438000,30.83,N/A,N/A,N/A,N/A,N/A,31.08,N/A,N/A,21.42,22.38B,724632000,N/A,2.52B,9.47,+44.21%,33.24,N/A,N/A,30,-2.35,-7.08%,"11:46am - <b>30.89</b>",30.89,N/A,N/A,"30.83 - 31.08",N/A,31.37,27.83,3.06,+10.99%,-0.48,-1.52%,"CARREFOUR",N/A,30.83,30.75,N/A,"+0.44%",0.30,2.42,"4/24/2014",17.50,N/A,N/A,0.00,N/A,N/A,"CA.PA",N/A,74.62B,0.00,"11:46am",N/A,N/A,N/A,439932,N/A,N/A,"21.42 - 33.24",N/A,N/A,"PAR",N/A
81.11,799844,99600,81.06,N/A,N/A,32.16,72800,"-0.60 - -0.73%",-0.60,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,3.44,N/A,2.15,N/A,0.00,N/A,143753000,80.67,N/A,N/A,N/A,N/A,N/A,81.70,N/A,N/A,47.79,12.75B,157232000,N/A,1.08B,33.30,+69.68%,85.77,N/A,N/A,429,-4.68,-5.46%,"11:45am - <b>81.09</b>",81.09,N/A,N/A,"80.67 - 81.70",N/A,78.71,66.60,14.49,+21.75%,2.38,+3.02%,"CAP GEMINI",N/A,81.63,81.69,N/A,"-0.73%",1.21,2.54,"5/16/2014",23.56,N/A,N/A,0.00,N/A,N/A,"CAP.PA",N/A,10.57B,0.00,"11:45am",N/A,N/A,N/A,168181,N/A,N/A,"47.79 - 85.77",N/A,N/A,"PAR",N/A
